species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Brotula barbata,NA,Ophidiidae,NA,3760000,habitat_benthic,reef-associated,94,NA,22829.30435,0.276427346,3.67,Actinopteri,LC,0.210266421,56.0101106,NA
Callorhinchus callorynchus,NA,Callorhinchidae,NA,1385000,habitat_benthic,demersal,89.19999695,NA,61930.47979,0.166717262,3.35,Holocephali,LC,0.13150113,57.62422483,NA
Callorhinchus milii,NA,Callorhinchidae,NA,1070000,habitat_benthic,demersal,125,NA,69198.59537,0.114485214,3.641329272,Holocephali,LC,0.145321879,59.35720145,NA
Caprodon longimanus,NA,Serranidae,NA,1067500,habitat_reef,reef-associated,55,NA,18.2779701,0.392822614,3.940238918,Actinopteri,LC,0.045114096,29.12652478,NA
Capros aper,NA,Caproidae,NA,2592500,habitat_reef,demersal,30,NA,770203.4273,0.435056667,3.14,Actinopteri,LC,0.001478731,36.87311052,NA
Carangoides bajad,NA,Carangidae,NA,5572500,habitat_reef,reef-associated,55,NA,7411.747198,0.975847099,3.98694355,Actinopteri,LC,0.070827806,34.93098508,NA
Carangoides fulvoguttatus,NA,Carangidae,NA,13272500,habitat_reef,reef-associated,120,NA,221.7473477,1.009870027,4.43,Actinopteri,LC,0.685233211,35.28789753,NA
Carangoides malabaricus,NA,Carangidae,NA,11795000,habitat_reef,reef-associated,60,NA,457.2905183,1.1685438,3.921557065,Actinopteri,LC,0.384029976,38.80246646,NA
Caranx hippos,NA,Carangidae,NA,5142500,habitat_reef,reef-associated,124,NA,22718.78796,0.871413741,3.56,Actinopteri,LC,0.339587198,38.60888143,NA
Caranx melampygus,NA,Carangidae,NA,13410000,habitat_reef,reef-associated,117,NA,47.64517442,0.562323474,4.49,Actinopteri,LC,0.688986974,33.47007267,57.6
Caranx rhonchus,NA,Carangidae,NA,1315000,habitat_coastal,benthopelagic,60,NA,10792.92494,0.643120381,3.641329272,Actinopteri,LC,0.092271147,29.30189107,NA
Caranx ruber,NA,Carangidae,NA,2530000,habitat_reef,reef-associated,73,NA,95.90817563,0.824246729,4.28,Actinopteri,LC,0.034874553,33.87296213,NA
